Type,Word,Mean,Var,Std
성차별적 혐오 발언,군무새,1.8888888888888888,1.654320987654321,1.286204100310025
성차별적 혐오 발언,김치녀,2.774193548387097,1.0780437044745055,1.0382888348020052
성차별적 혐오 발언,꽃뱀,2.4375,2.12109375,1.4563975247163805
성차별적 혐오 발언,"여직원, 여의사 등(필요 외로 여성임을 강조하는 단어)",1.1818181818181819,1.6033057851239672,1.2662171161076472
성차별적 혐오 발언,맘충,2.096774193548387,2.0874089490114462,1.444786817842496
성차별적 혐오 발언,한남충,2.8,1.4266666666666665,1.1944315244779278
성차별적 혐오 발언,김여사,2.34375,2.1630859375,1.4707433282187616
성차별적 혐오 발언,개저씨,2.238095238095238,1.1337868480725624,1.0647942749998998
성차별적 혐오 발언,꼴페미,2.806451612903226,1.8980228928199792,1.3776875163911368
성차별적 혐오 발언,뚱녀,2.5483870967741935,1.4734651404786678,1.2138637240146308
성차별적 혐오 발언,성괴,1.96875,2.3427734375,1.530612112032307
성차별적 혐오 발언,여적여,2.2,1.92,1.3856406460551018
성차별적 혐오 발언,엠창,2.225806451612903,2.4328824141519254,1.559769987578914
성차별적 혐오 발언,걸레,2.71875,1.3896484375,1.178833507116251
성차별적 혐오 발언,백마,2.5,1.75,1.3228756555322954
인종 차별적 혐오 발언,외노자,1.037037037037037,1.220850480109739,1.1049210289019478
인종 차별적 혐오 발언,양키,1.4375,1.24609375,1.1162856937182344
인종 차별적 혐오 발언,튀기,3.0,0.6666666666666666,0.816496580927726
인종 차별적 혐오 발언,혼혈,0.09375,0.0849609375,0.2914805954090255
인종 차별적 혐오 발언,짱깨,2.242424242424242,1.638200183654729,1.2799219443601744
인종 차별적 혐오 발언,조선족,0.5757575757575758,0.8503213957759412,0.9221287305880569
인종 차별적 혐오 발언,왕서방,0.8461538461538461,1.3609467455621298,1.166596222161777
인종 차별적 혐오 발언,쪽발이,2.40625,1.4912109375,1.221151480161245
인종 차별적 혐오 발언,니그로,2.9285714285714284,1.6377551020408165,1.279748061940637
인종 차별적 혐오 발언,코쟁이,2.076923076923077,0.9940828402366864,0.9970370305242862
인종 차별적 혐오 발언,검둥이,3.090909090909091,0.9917355371900827,0.9958591954639384
인종 차별적 혐오 발언,흑형,1.7272727272727273,1.5316804407713498,1.2376107791916446
인종 차별적 혐오 발언,양놈,2.303030303030303,1.3021120293847566,1.1411012353795593
인종 차별적 혐오 발언,똥양인,2.8666666666666667,1.0488888888888888,1.024152766382481
